pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
1,1,1,0.5681319,0.9394139,0.6706959,0,0,0,0.06761905,HandGun
0.590696,1,0.8374359,1,0.6687912,0.9423443,0,0.03040293,0.06322344,0.08842491,HandGun
1,1,1,0.5681319,0.9394139,0.6706959,0,0,0,0.06703297,HandGun
0.590696,1,0.830696,1,0.6687912,0.9423443,0,0.03010989,0.06380952,0.08842491,HandGun
1,1,1,0.5681319,0.9394139,0.6706959,0,0,0,0.06644689,HandGun
0.590696,1,0.8286447,1,0.6687912,0.9423443,0,0.03010989,0.06380952,0.08842491,HandGun
1,1,1,0.5681319,0.9394139,0.671282,0,0,0,0.06556777,HandGun
0.590696,1,0.8260073,1,0.6687912,0.9423443,0,0.02981685,0.06380952,0.08813187,HandGun
1,1,1,0.569304,0.9394139,0.671575,0,0,0,0.06439561,HandGun
0.590696,1,0.8254213,1,0.6687912,0.9423443,0,0.02952381,0.06293041,0.08783883,HandGun
1,1,1,0.5698901,0.9394139,0.671575,0,0,0,0.06410257,HandGun
0.590696,1,0.8254213,1,0.6687912,0.9423443,0,0.02952381,0.06263737,0.08783883,HandGun
1,1,1,0.5698901,0.9394139,0.671575,0,0,0,0.06351648,HandGun
0.590696,1,0.8254213,1,0.6687912,0.9423443,0,0.02923077,0.06263737,0.08783883,HandGun
1,1,1,0.5701832,0.9394139,0.671575,0,0,0,0.06322344,HandGun
0.590696,1,0.8254213,1,0.6687912,0.9423443,0,0.02923077,0.06234432,0.08754579,HandGun
1,1,1,0.5701832,0.9394139,0.671575,0,0,0,0.06263737,HandGun
0.590696,1,0.8254213,1,0.6687912,0.9423443,0,0.02923077,0.06205128,0.08754579,HandGun
1,1,1,0.5701832,0.9394139,0.671575,0,0,0,0.06175824,HandGun
0.590696,1,0.8254213,1,0.6687912,0.9329671,0,0.02835165,0.06175824,0.08725274,HandGun
1,1,1,0.5701832,0.9394139,0.671575,0,0,0,0.06087912,HandGun
0.590696,1,0.8254213,1,0.6687912,0.921392,0,0.02835165,0.06117216,0.0869597,HandGun
1,1,1,0.5701832,0.9394139,0.671575,0,0,0,0.06,HandGun
0.590696,1,0.8254213,1,0.6687912,0.9098169,0,0.02805861,0.06117216,0.0869597,HandGun
1,1,1,0.5701832,0.9394139,0.671575,0,0,0,0.05970696,HandGun
0.590696,1,0.8254213,1,0.6687912,0.9098169,0,0.02805861,0.06117216,0.0869597,HandGun
1,1,1,0.5701832,0.940586,0.671575,0,0,0,0.05882784,HandGun
0.590696,1,0.8254213,1,0.6687912,0.9098169,0,0.02805861,0.06117216,0.08666667,HandGun
1,1,1,0.5701832,0.9435164,0.671575,0,0,0,0.05765568,HandGun
0.590696,1,0.8254213,1,0.6687912,0.9098169,0,0.02776557,0.06205128,0.08666667,HandGun
1,1,1,0.5701832,0.9467399,0.671575,0,0,0,0.05589744,HandGun
0.590696,1,0.8254213,1,0.6687912,0.9098169,0,0.02776557,0.06205128,0.08637363,HandGun
1,1,1,0.5701832,0.9493772,0.671575,0,0,0,0.05501831,HandGun
0.590696,1,0.8274726,1,0.6708425,0.9098169,0,0.02747253,0.06234432,0.08637363,HandGun
1,1,1,0.5701832,0.9520146,0.671575,0,0,0,0.05267399,HandGun
0.5918682,1,0.830403,1,0.6761172,0.9098169,0,0.02747253,0.06263737,0.08666667,HandGun
1,1,1,0.5701832,0.9520146,0.671575,0,0,0,0.05003663,HandGun
0.5939195,1,0.8350916,1,0.6825641,0.9098169,0,0.02717949,0.06380952,0.08637363,HandGun
1,1,1,0.5701832,0.9520146,0.6475457,0,0,0,0.04827839,HandGun
0.5968499,1,0.8471063,1,0.689011,0.9098169,0,0.02688645,0.06615385,0.08608059,HandGun
1,1,1,0.5701832,0.9520146,0.6361171,0,0,0,0.04769231,HandGun
0.5997803,1,0.852088,1,0.6919414,0.9098169,0,0.02630037,0.06761905,0.08578754,HandGun
1,1,1,0.5701832,0.9520146,0.6361171,0,0,0,0.04681319,HandGun
0.6009524,1,0.8544323,1,0.6951648,0.9098169,0,0.02630037,0.06820513,0.0854945,HandGun
1,1,1,0.5701832,0.9520146,0.6361171,0,0,0,0.04652015,HandGun
0.6012455,1,0.8558975,1,0.69663,0.9098169,0,0.02600733,0.06820513,0.08461539,HandGun
1,1,1,0.5701832,0.9520146,0.6361171,0,0,0,0.04534798,HandGun
0.6009524,1,0.8544323,1,0.6954578,0.9098169,0,0.02571429,0.06791209,0.08432234,HandGun
1,1,1,0.5701832,0.9520146,0.6361171,0,0,0,0.04505495,HandGun
0.6009524,1,0.8544323,1,0.6954578,0.9098169,0,0.02571429,0.06791209,0.08432234,HandGun
1,1,1,0.5701832,0.9520146,0.6361171,0,0,0,0.0447619,HandGun
0.6009524,1,0.8544323,1,0.6954578,0.9098169,0,0.02571429,0.06761905,0.08373626,HandGun
1,1,1,0.5701832,0.9520146,0.6361171,0,0,0,0.04446886,HandGun
0.6009524,1,0.8544323,1,0.6954578,0.9098169,0,0.02542125,0.06703297,0.0840293,HandGun
1,1,1,0.5701832,0.9520146,0.6361171,0,0,0,0.04446886,HandGun
0.6009524,1,0.8544323,1,0.6954578,0.9098169,0,0.02542125,0.06644689,0.08344322,HandGun
1,1,1,0.5701832,0.9520146,0.6361171,0,0,0,0.04388278,HandGun
0.6009524,1,0.8544323,1,0.6954578,0.9098169,0,0.02542125,0.06615385,0.08373626,HandGun
1,1,1,0.5701832,0.9520146,0.6361171,0,0,0,0.04358974,HandGun
0.6009524,1,0.8544323,1,0.6954578,0.9098169,0,0.02542125,0.06586081,0.08373626,HandGun
1,1,1,0.5701832,0.9520146,0.6361171,0,0,0,0.04358974,HandGun
0.6009524,1,0.8544323,1,0.6954578,0.9098169,0,0.0251282,0.06556777,0.08373626,HandGun
1,1,1,0.5704763,0.9520146,0.6361171,0,0,0,0.04300366,HandGun
0.6009524,1,0.8544323,1,0.6954578,0.9098169,0,0.0251282,0.06615385,0.08344322,HandGun
1,1,1,0.5704763,0.9520146,0.6361171,0,0,0,0.04271062,HandGun
0.6009524,1,0.8553115,1,0.6954578,0.9098169,0,0.02483517,0.06644689,0.08315019,HandGun
1,1,1,0.5704763,0.9520146,0.6361171,0,0,0,0.04271062,HandGun
0.6009524,1,0.8570697,1,0.6954578,0.9098169,0,0.02483517,0.06644689,0.08315019,HandGun
1,1,1,0.5704763,0.9520146,0.6361171,0,0,0,0.04241758,HandGun
0.6012454,1,0.8585349,1,0.6954578,0.9098169,0,0.02454212,0.06615385,0.08315019,HandGun
1,1,1,0.5704763,0.9520146,0.6361171,0,0,0,0.04241758,HandGun
0.6018315,1,0.8576558,1,0.6957508,0.9098169,0,0.02395604,0.06586081,0.08285714,HandGun
1,1,1,0.5704763,0.9537728,0.6361171,0,0,0,0.04241758,HandGun
0.6021246,1,0.8576558,1,0.6957508,0.9098169,0,0.023663,0.06615385,0.0825641,HandGun
1,1,1,0.5704763,0.9669597,0.6361171,0,0,0,0.0418315,HandGun
0.6021246,1,0.8576558,1,0.6957508,0.9098169,0,0.023663,0.06615385,0.0825641,HandGun
1,1,1,0.5704763,0.9751648,0.6361171,0,0,0,0.04153846,HandGun
0.6021246,1,0.8576558,1,0.6957508,0.9098169,0,0.02336996,0.06586081,0.08227106,HandGun
1,1,1,0.5704763,0.9821978,0.598901,0,0,0,0.04153846,HandGun
0.6024176,1,0.8576558,1,0.6957508,0.9098169,0,0.02336996,0.06586081,0.08227106,HandGun
1,1,1,0.5704763,0.9824908,0.58337,0,0,0,0.04124542,HandGun
0.6030037,1,0.8576558,1,0.6957508,0.9098169,0,0.02278388,0.06439561,0.08168498,HandGun
1,1,1,0.5704763,0.9819047,0.5810257,0,0,0,0.04124542,HandGun
0.6030037,1,0.8576558,1,0.6957508,0.9098169,0,0.02249084,0.06410257,0.08168498,HandGun
1,1,1,0.5704763,0.9819047,0.5807326,0,0,0,0.04124542,HandGun
0.6035898,1,0.8576558,1,0.6957508,0.9098169,0,0.02249084,0.06380952,0.08168498,HandGun
1,1,1,0.5704763,0.9819047,0.5807326,0,0,0,0.04124542,HandGun
0.6035898,1,0.8576558,1,0.6957508,0.9098169,0,0.0221978,0.06322344,0.08139194,HandGun
1,1,1,0.5704763,0.9819047,0.5807326,0,0,0,0.04124542,HandGun
0.6035898,1,0.8576558,1,0.6957508,0.9098169,0,0.0221978,0.06293041,0.08139194,HandGun
1,1,1,0.5704763,0.9819047,0.5807326,0,0,0,0.04065934,HandGun
0.6035898,1,0.8576558,1,0.6957508,0.9098169,0,0.02161172,0.06293041,0.0810989,HandGun
1,1,1,0.5704763,0.9819047,0.5807326,0,0,0,0.04065934,HandGun
0.6035898,1,0.8576558,1,0.6957508,0.9098169,0,0.02161172,0.06293041,0.08080586,HandGun
1,1,1,0.5704763,0.9819047,0.5807326,0,0,0,0.04065934,HandGun
0.6035898,1,0.8576558,1,0.6957508,0.9098169,0,0.02131868,0.06263737,0.07992674,HandGun
1,1,1,0.5704763,0.9819047,0.5807326,0,0,0,0.04065934,HandGun
0.6035898,1,0.8576558,1,0.6957508,0.9098169,0,0.02131868,0.06263737,0.08051282,HandGun
1,1,1,0.5704763,0.9819047,0.5807326,0,0,0,0.04065934,HandGun
0.6035898,1,0.8576558,1,0.6957508,0.9098169,0,0.02131868,0.06234432,0.07992674,HandGun
1,1,1,0.5704763,0.9819047,0.5807326,0,0,0,0.04065934,HandGun
0.6035898,1,0.8576558,1,0.6957508,0.9098169,0,0.02131868,0.06263737,0.0796337,HandGun
1,1,1,0.5704763,0.9819047,0.5807326,0,0,0,0.04065934,HandGun
0.6035898,1,0.8576558,1,0.6957508,0.9098169,0,0.02102564,0.06322344,0.07992674,HandGun
1,1,1,0.5704763,0.9819047,0.5807326,0,0,0,0.04007326,HandGun
0.6035898,1,0.8576558,1,0.6957508,0.9098169,0,0.02102564,0.06322344,0.0796337,HandGun
1,1,1,0.5704763,0.9819047,0.5807326,0,0,0,0.04007326,HandGun
0.6035898,1,0.8576558,1,0.6957508,0.9098169,0,0.0207326,0.06293041,0.07904762,HandGun
1,1,1,0.5704763,0.9819047,0.5807326,0,0,0,0.03978022,HandGun
0.6035898,1,0.8576558,1,0.6957508,0.9098169,0,0.0207326,0.06263737,0.07934066,HandGun
1,1,1,0.5704763,0.9819047,0.5807326,0,0,0,0.03978022,HandGun
0.6035898,1,0.8576558,1,0.6957508,0.9098169,0,0.02043956,0.06234432,0.07904762,HandGun
1,1,1,0.5704763,0.9819047,0.5807326,0,0,0,0.04007326,HandGun
0.6035898,1,0.8576558,1,0.6957508,0.9098169,0,0.02043956,0.06205128,0.07875458,HandGun
1,1,1,0.5704763,0.9819047,0.5807326,0,0,0,0.03978022,HandGun
0.6035898,1,0.8576558,1,0.6957508,0.9098169,0,0.02043956,0.06205128,0.07875458,HandGun
