pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.627326,1,0.9136264,0.6900367,0.7682784,0.8696703,0.03098901,0,0,0.006666667,HandGun
0.3339927,1,0.5613919,1,0.4995604,1,0,0.001684982,0,0.01487179,HandGun
0.6290842,1,0.9156777,0.6900367,0.7703296,0.8696703,0.03098901,0,0,0.007252747,HandGun
0.3339927,1,0.561685,1,0.4995604,1,0,0.001684982,0,0.01487179,HandGun
0.6296703,1,0.9165568,0.6900367,0.7709157,0.8696703,0.03098901,0,0,0.007252747,HandGun
0.3339927,1,0.5613919,1,0.4992674,1,0,0.001684982,0,0.01487179,HandGun
0.6317216,1,0.9206594,0.6900367,0.77326,0.8696703,0.03128205,0,0,0.007252747,HandGun
0.3339927,1,0.5613919,1,0.4995604,1,0,0.001391941,0,0.01487179,HandGun
0.6358242,1,0.9282784,0.692381,0.7773626,0.8696703,0.03186813,0,0,0.007252747,HandGun
0.3339927,1,0.5637363,1,0.5013187,1,0,0.001391941,0,0.01487179,HandGun
0.6399267,1,0.9367766,0.6909158,0.7817582,0.8696703,0.03274725,0,0,0.007252747,HandGun
0.3342857,1,0.5657876,1,0.5019047,1,0,0.0008058608,0,0.01487179,HandGun
0.641685,1,0.9382418,0.6909158,0.7838095,0.8696703,0.03304029,0,0,0.007252747,HandGun
0.3348718,1,0.5675458,1,0.5033699,1,0,0.0008058608,0,0.01487179,HandGun
0.6548718,1,0.9669597,0.7002931,0.7978754,0.8740659,0.03538461,0,0,0.007252747,HandGun
0.3354579,1,0.5698901,1,0.5045421,1,0,0.0008058608,0,0.01487179,HandGun
0.6557509,1,0.9701831,0.699707,0.7978754,0.8728937,0.0359707,0,0,0.007252747,HandGun
0.3354579,1,0.5698901,1,0.5042491,1,0,0.0005128205,0,0.01487179,HandGun
0.656337,1,0.9742857,0.7002931,0.8002197,0.8720146,0.03655678,0,0,0.006666667,HandGun
0.3354579,1,0.5695971,1,0.5045421,1,0,0.0005128205,0,0.01457876,HandGun
0.6642491,1,0.9942124,0.7090843,0.8142857,0.8720146,0.0389011,0,0,0.007252747,HandGun
0.3354579,1,0.5704762,1,0.5048351,1,0,0.0002197802,0,0.01457876,HandGun
0.6674725,1,1,0.7131868,0.8183882,0.8740659,0.03978022,0,0,0.007252747,HandGun
0.3354579,1,0.5722345,1,0.5060073,1,0,0.0002197802,0,0.01457876,HandGun
0.6812454,1,1,0.7272527,0.8345054,0.8796336,0.04388278,0,0,0.006666667,HandGun
0.3369231,1,0.5783883,1,0.5112821,1,0,0.0002197802,0,0.01487179,HandGun
0.6856411,1,1,0.7369231,0.8397802,0.8834432,0.04505495,0,0,0.006666667,HandGun
0.3378022,1,0.5813187,1,0.5136263,1,0,0.0002197802,0,0.01457876,HandGun
0.6941392,1,1,0.7571428,0.85326,0.8939926,0.04739927,0,0,0.007252747,HandGun
0.3416117,1,0.5997802,1,0.5247619,1,0,0.0002197802,0,0.01457876,HandGun
0.6985348,1,1,0.765348,0.8579487,0.8957508,0.04798535,0,0,0.006666667,HandGun
0.3454212,1,0.6135531,1,0.5347253,1,0,0,0,0.01487179,HandGun
0.7026374,1,1,0.7756044,0.8632234,0.8995604,0.04857143,0,0,0.007252747,HandGun
0.3471795,1,0.6205861,1,0.5420513,1,0,0,0,0.01487179,HandGun
0.7252015,1,1,0.8242491,0.881978,0.8995604,0.05355311,0,0,0.007252747,HandGun
0.351282,1,0.6320146,1,0.5505494,1,0,0,0,0.01487179,HandGun
0.7331136,1,1,0.8397802,0.8884249,0.8995604,0.05531136,0,0,0.007252747,HandGun
0.3556776,1,0.6443223,1,0.5599267,1,0.0002197802,0,0,0.01487179,HandGun
0.7515751,1,1,0.8605861,0.8992674,0.8995604,0.06380952,0,0,0.007545787,HandGun
0.3624175,1,0.6621978,1,0.5772161,1,0.001098901,0,0,0.01487179,HandGun
0.7521612,1,1,0.8594139,0.8986813,0.8995604,0.06410257,0,0,0.007252747,HandGun
0.3644688,1,0.6663004,1,0.5813186,1,0.001098901,0,0,0.01487179,HandGun
0.7524542,1,1,0.8570696,0.8983882,0.9001465,0.06468865,0,0,0.007252747,HandGun
0.3662271,1,0.6724542,1,0.5863004,1,0.001391941,0,0,0.01487179,HandGun
0.7524542,1,1,0.8544322,0.8978022,0.903663,0.06644689,0,0,0.007252747,HandGun
0.3715018,1,0.692381,1,0.5997802,1,0.002271062,0,0,0.01487179,HandGun
0.7524542,1,1,0.8267399,0.8978022,0.9074725,0.06703297,0,0,0.007252747,HandGun
0.3744322,1,0.7011722,1,0.605348,1,0.002857143,0,0,0.01516484,HandGun
0.7524542,1,1,0.8113553,0.8978022,0.9098168,0.06761905,0,0,0.007252747,HandGun
0.3788278,1,0.7167033,1,0.6150182,1,0.004322344,0,0,0.01516484,HandGun
0.7524542,1,1,0.8107693,0.8978022,0.9121611,0.06761905,0,0,0.006666667,HandGun
0.3788278,1,0.7167033,1,0.6150182,1,0.004322344,0,0,0.01516484,HandGun
0.7524542,1,1,0.8093041,0.8978022,0.918608,0.06820513,0,0,0.007252747,HandGun
0.3820513,1,0.7298901,1,0.6214652,1,0.005201465,0,0,0.01516484,HandGun
0.7524542,1,1,0.8093041,0.8978022,0.9250549,0.06908425,0,0,0.007252747,HandGun
0.3826374,1,0.7331135,1,0.6229304,1,0.005201465,0,0,0.01516484,HandGun
0.7524542,1,1,0.8093041,0.9086447,0.9394138,0.07201465,0,0,0.007252747,HandGun
0.3841026,1,0.7389743,1,0.62674,1,0.005494506,0,0,0.01516484,HandGun
0.7545055,1,1,0.8093041,0.9203663,0.9540659,0.07582418,0,0,0.006666667,HandGun
0.3846886,1,0.7395604,1,0.627326,1,0.005494506,0,0,0.01516484,HandGun
0.7545055,1,1,0.8093041,0.9218315,0.955238,0.07641026,0,0,0.006666667,HandGun
0.3843956,1,0.7395604,1,0.62674,1,0.005494506,0,0,0.01516484,HandGun
0.7577289,1,1,0.8093041,0.9297436,0.9678388,0.07904762,0,0,0.006666667,HandGun
0.3846886,1,0.7386813,1,0.62674,1,0.005787546,0,0,0.01516484,HandGun
0.7591941,1,1,0.8093041,0.9353113,0.9734066,0.0810989,0,0,0.006666667,HandGun
0.3846886,1,0.7386813,1,0.62674,1,0.005787546,0,0,0.01487179,HandGun
0.7603663,1,1,0.8093041,0.9376557,0.9731135,0.0825641,0,0,0.006666667,HandGun
0.3846886,1,0.7386813,1,0.62674,1,0.006080586,0,0,0.01487179,HandGun
0.7597802,1,1,0.8093041,0.9353113,0.9710622,0.08344322,0,0,0.006373626,HandGun
0.3846886,1,0.7386813,1,0.62674,1,0.006080586,0,0,0.01487179,HandGun
0.7597802,1,1,0.8093041,0.9353113,0.9710622,0.08344322,0,0,0.006373626,HandGun
0.3846886,1,0.7386813,1,0.62674,1,0.006080586,0,0,0.01487179,HandGun
0.7597802,1,1,0.8093041,0.9353113,0.9710622,0.08344322,0,0,0.006373626,HandGun
0.3846886,1,0.7386813,1,0.62674,1,0.006080586,0,0,0.01487179,HandGun
0.7597802,1,1,0.8093041,0.9353113,0.9482051,0.0840293,0,0,0.006373626,HandGun
0.3846886,1,0.7386813,1,0.62674,1,0.006080586,0,0,0.01487179,HandGun
0.7597802,1,1,0.8093041,0.9353113,0.9268132,0.08432234,0,0,0.006373626,HandGun
0.3846886,1,0.7386813,1,0.62674,1,0.006080586,0,0,0.01487179,HandGun
0.7597802,1,1,0.8093041,0.9353113,0.9247619,0.08490843,0,0,0.006080586,HandGun
0.3846886,1,0.7386813,1,0.62674,1,0.006080586,0,0,0.01487179,HandGun
0.7597802,1,1,0.8093041,0.9353113,0.9247619,0.08520146,0,0,0.006080586,HandGun
0.3846886,1,0.7386813,1,0.62674,1,0.006080586,0,0,0.01487179,HandGun
